Nazwa produktu	białka	tłuszcze	węglowodany
Miód pszczeli	0.3	0	79.5
Mleko kokosowe w puszce	2.1	18	8.1
Mleko kozie 2%	3.2	4.1	4.5
Mleko owcze	6	7	5.1
Mleko sojowe	6	1.4	4.3
Mleko spożywcze 2.0%	3.4	2	4.9
Mleko w proszku pełne	27	24	38.7
Mleko zagęszczone niesłodzone	6.6	7.5	9.4
Mleko zagęszczone słodzone	7.5	8	55.3
Młody jęczmień proszek	52	2	21
Morele	0.9	0.2	11.9
Morele suszone	5.4	1.2	72.2
Morszczuk świeży	17.2	2.2	0
Mus jabłkowy	2.2	0.2	28.7
Musli z orzechami i rodzynkami	11.5	12.7	62.9
Musli z suszonymi owocami	8.4	3.4	72.2
Musztarda	5.7	6.4	22
Napój kokosowy w kartonie	0.1	2	3.5
Nasiona Chia	16	31	44
Natka pietruszki	4.4	0.4	9
Nektarynka	0.9	0.2	11.8
Ocet balsamiczny	0	0	0.7
Ocet jabłkowy	0	0	6
Ocet winny	0	0	5
Ogórek	0.7	0.1	2.9
Ogórek kiszony	1	0.1	1.9
Ogórek konserwowy	0.4	0.1	4.9
Ogórek kwaszony	1	0.1	1.9
Ogórki konserwowe	0.3	0.1	5.6
Olej kokosowy	0	100	0
Olej rzepakowy	0	100	0
Olej słonecznikowy	0	100	0
Oliwa z oliwek	0	99.6	0.2
Oliwki czarne	1.4	12.7	4.1
Oliwki zielone marynowane	1.4	12.7	4.1
Oregano	9	4.3	69
Orzechy arachidowe	25.7	46.1	19.2
Orzechy brazylijskie	14	66	4
Orzechy laskowe	14.4	63	14.9
Orzechy piniowe	16.7	68.4	13
Orzechy pistacjowe	20.5	48.5	25
Orzechy włoskie	16	60.3	18
Orzechy ziemne	26	50	14
Ostra papryka	0.02	0	0.09
Otręby pszenne	16	4.6	61.9
Paluszek krabowy	6.5	2.2	16.8
Papaja	0.6	0.1	11.1
Papryka czerwona	1.3	0.5	6.6
Papryka czerwona konserwowa	0.8	1.5	5
Papryka sucha	15	13	56
